"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.83883774596284e-30,0.277686714297398,0.32,0.229,7.13371537183002e-26,"16","Sf3a3"
4.18142677276041e-30,0.307664706206388,0.295,0.208,1.05075073372696e-25,"16","Aggf1"
6.81690071387917e-30,0.365685008184866,0.269,0.188,1.7130189803907e-25,"16","Washc3"
1.07500054038816e-29,0.35566820410338,0.283,0.2,2.7013688579414e-25,"16","Zcchc9"
1.56780157071053e-29,0.337693708098949,0.259,0.179,3.9397285670385e-25,"16","Vps13c"
2.2729692120519e-29,0.392875175854843,0.253,0.177,5.71174433296522e-25,"16","Hikeshi"
3.05738987931713e-29,0.318459727648439,0.292,0.208,7.68291502773602e-25,"16","Prpf6"
3.2625622693496e-29,0.320129534089587,0.284,0.202,8.19849272664862e-25,"16","Oard1"
6.37963515057013e-29,0.362469076117015,0.256,0.177,1.60313851698677e-24,"16","Mtrex"
7.73477559129067e-29,0.333716021126987,0.267,0.188,1.94367175833543e-24,"16","2300009A05Rik"
7.77526169431437e-29,0.269432985315914,0.344,0.253,1.95384551116426e-24,"16","Mrps17"
1.745032845011e-28,0.283750922793385,0.291,0.208,4.38509303622814e-24,"16","Zfand3"
4.12902813095239e-28,0.357589903542744,0.25,0.175,1.03758347902703e-23,"16","Ganab"
8.34622227303229e-28,0.32368719957916,0.27,0.191,2.09732219499028e-23,"16","Nae1"
8.36970950972027e-28,0.316604766198326,0.274,0.193,2.10322430269761e-23,"16","Usp19"
1.06512142285471e-27,0.34239896342015,0.253,0.178,2.67654362349161e-23,"16","Smn1"
1.30057793762913e-27,0.306140248738703,0.305,0.221,3.26822229946824e-23,"16","Ppp3r1"
1.34359031854883e-27,0.298842018646597,0.338,0.253,3.37630811148135e-23,"16","Trappc6a"
1.90577130213023e-27,0.30499078559746,0.27,0.192,4.78901270512305e-23,"16","Ubqln1"
3.47963176641358e-27,0.33148395107692,0.269,0.192,8.74396666582068e-23,"16","Rab9"
3.86063088765372e-27,0.331177323167955,0.267,0.19,9.70137935758503e-23,"16","Exosc3"
5.0018464492517e-27,0.284548465589355,0.353,0.265,1.25691399423246e-22,"16","Eif3l"
1.22074348515255e-26,0.274888045935656,0.313,0.229,3.06760630383985e-22,"16","Synrg"
1.31475945937364e-26,0.342417176710224,0.262,0.186,3.30385904546002e-22,"16","Gtf3c6"
